Filler,Anova (p),Log^2 FX/Ctl,p-Value
g1071,0.355313626,0.496998485,0.449388137
g1072,0.355366868,0.575702766,0.449323065
g1073,0.355394752,0.678312675,0.44928899
g1074,0.355584008,1.380521003,0.449057779
g1075,0.355758218,0.696445985,0.448845059
g1076,0.356153797,-1.485100014,0.448362421
g1077,0.356193657,0.577529315,0.448313819
g1078,0.356785605,-4.477817242,0.447592676
g1079,0.356881929,-1.580682778,0.447475442
g1080,0.356893387,2.296134989,0.447461499
g1081,0.356986786,-1.57543243,0.447347859
g1082,0.357080337,-0.479306971,0.447234064
g1083,0.357222438,-0.652316357,0.44706127
g1084,0.357233062,-0.652316357,0.447048354
g1085,0.357349844,-1.134799819,0.446906403
g1086,0.357461897,0.397160523,0.446770244
g1087,0.35749693,3.592533239,0.446727683
g1088,0.357825976,1.112305473,0.446328135
g1089,0.357857539,-1.400726049,0.446289829
g1090,0.357989888,0.20535912,0.446129241
g1091,0.358001587,-1.276089269,0.446115048
g1092,0.35814128,-1.069594181,0.445945619
g1093,0.358381483,-2.144288377,0.445654438
g1094,0.358419889,1.035567873,0.445607899
g1095,0.358554026,7.259453433,0.445445397
g1096,0.358615825,-1.4602411,0.44537055
g1097,0.358748196,2.989680236,0.445210274
g1098,0.358788582,-1.680052168,0.445161386
g1099,0.358883027,1.608852131,0.445047081
g1100,0.359013296,-0.981737763,0.444889467
g1101,0.359049705,-0.348800905,0.444845426
g1102,0.359130321,-1.840686914,0.444747926
g1103,0.359165112,-2.705762906,0.444705856
g1104,0.359216527,-0.993241181,0.44464369
g1105,0.359298118,2.969976012,0.444545058
g1106,0.359485574,-1.316020149,0.444318533
g1107,0.359495362,-1.419846113,0.444306708
g1108,0.359506421,-0.460667897,0.444293348
g1109,0.359512831,-0.380763322,0.444285605
g1110,0.359676835,0.531244677,0.444087532
g1111,0.359721856,-1.912639827,0.444033174
g1112,0.359807075,0.588608464,0.443930301
g1113,0.359937889,-0.488866277,0.443772435
g1114,0.359998813,-1.042942743,0.443698931
g1115,0.360092343,0.461546037,0.443586113
g1116,0.36017718,0.461546037,0.443483807
g1117,0.360216837,-1.635190337,0.443435992
g1118,0.360263229,-1.297469516,0.443380063
g1119,0.360333867,-0.813171857,0.443294918
g1120,0.360389463,-3.217111778,0.443227915
g1121,0.360446307,-0.779671694,0.44315942
g1122,0.360573317,-1.21167107,0.443006415
g1123,0.360592135,-0.847219548,0.44298375
g1124,0.360726867,-0.69206284,0.44282151
g1125,0.360825578,-1.275591322,0.442702684
g1126,0.360989404,-1.332773579,0.442505546
g1127,0.361022623,-0.756928474,0.442465583
g1128,0.36113211,-0.756928474,0.442333895
g1129,0.361296299,-1.174018936,0.442136487
g1130,0.361700316,-2.419422642,0.441651112
g1131,0.36205233,2.075542403,0.441228653
g1132,0.362216256,3.87346019,0.441032063
g1133,0.36253908,-1.638894467,0.440645172
g1134,0.36262357,-1.505064802,0.440543971
g1135,0.362891769,0.452714669,0.440222882
g1136,0.362975754,0.307385803,0.440122384
g1137,0.363272246,3.007816213,0.439767781
g1138,0.363396203,0.954915869,0.439619615
g1139,0.363419737,-1.184348917,0.43959149
g1140,0.363431183,1.106253734,0.439577812
g1141,0.363537184,-0.608961177,0.439451161
g1142,0.363658931,-1.333926677,0.439305742
g1143,0.363667575,0.269905977,0.439295419
g1144,0.363777075,0.079761173,0.439164673
g1145,0.363799941,-1.108259564,0.439137376
g1146,0.36389639,-0.553447382,0.439022253
g1147,0.364027175,-0.63003867,0.438866195
g1148,0.364040495,-1.298149147,0.438850304
g1149,0.364090915,3.748089954,0.438790158
g1150,0.364263085,1.922761769,0.438584839
g1151,0.36434173,-0.441387799,0.438491084
g1152,0.364422819,1.000280721,0.438394437
g1153,0.364436213,1.817897237,0.438378475
g1154,0.364472186,1.139682503,0.438335608
g1155,0.364511419,0.857095807,0.438288862
g1156,0.364655322,-1.188571026,0.438117444
g1157,0.364719669,1.885917089,0.438040815
g1158,0.364770707,-2.073604297,0.437980045
g1159,0.365027808,-1.600004352,0.43767405
g1160,0.365101641,0.202258064,0.437586215
g1161,0.365114787,-0.877902313,0.437570578
g1162,0.365291306,-0.8881003,0.437360664
g1163,0.365464307,-1.756898704,0.437155032
g1164,0.365534045,0.617677425,0.437072168
g1165,0.365554436,-1.205380159,0.437047942
g1166,0.365954715,-1.699244943,0.436572653
g1167,0.366049283,-1.253812281,0.436460439
g1168,0.366191367,-1.23375065,0.436291898
g1169,0.366430792,1.60368014,0.436008039
g1170,0.366461845,-0.694740719,0.435971236
g1171,0.366472878,1.779737746,0.435958161
g1172,0.366494482,-1.28878694,0.43593256
g1173,0.366505133,1.000994438,0.435919939
g1174,0.366596997,-1.699244943,0.435811097
g1175,0.366842347,2.890544766,0.435520537
g1176,0.366861979,1.622850905,0.435497296
g1177,0.366914874,0.894761102,0.435434682
g1178,0.36700894,-0.949219486,0.435323357
g1179,0.36717019,0.783915688,0.435132586
g1180,0.367256777,-1.296209023,0.435030181
g1181,0.367318587,-0.376950618,0.434957095
g1182,0.367500867,-1.445231445,0.434741632
g1183,0.36790518,2.146926504,0.434264097
g1184,0.368241217,0.679248478,0.433867603
g1185,0.368349742,-0.627821711,0.43373963
g1186,0.368436957,-2.012614665,0.433636813
g1187,0.369029583,-0.499954027,0.432938818
g1188,0.369337772,-0.874468064,0.432576275
g1189,0.369343421,-0.722310776,0.432569633
g1190,0.369354821,-0.994576809,0.432556228
g1191,0.369430304,-1.065144662,0.432467483
g1192,0.369795967,-3.082985313,0.43203783
g1193,0.369889536,-0.712867731,0.431927954
g1194,0.370070856,-0.662061908,0.431715115
g1195,0.370211059,-0.993397931,0.431550612
g1196,0.370261796,-1.02051012,0.431491097
g1197,0.370270639,2.82550888,0.431480724
g1198,0.370400126,0.929800839,0.431328874
g1199,0.370431206,1.607892887,0.431292434
g1200,0.370462792,1.970944275,0.431255405
g1201,0.370626478,-0.550896413,0.431063557
g1202,0.370707796,-0.534004509,0.430968281
g1203,0.370817524,-0.770451567,0.43083975
g1204,0.371105381,0.913852243,0.430502748
g1205,0.371225354,-4.633051331,0.43036237
g1206,0.371392238,-1.411352684,0.430167177
g1207,0.371423045,-1.163331194,0.430131154
g1208,0.371770558,-1.188841132,0.429725007
g1209,0.371777669,-1.183413857,0.4297167
g1210,0.371798725,-1.686523265,0.429692104
g1211,0.371853907,-1.531403598,0.429627651
g1212,0.371969876,-1.152549619,0.42949223
g1213,0.372011781,-0.861645424,0.429443307
g1214,0.37206146,-0.785797431,0.429385314
g1215,0.37218214,-0.366822099,0.429244471
g1216,0.372624269,0.903078126,0.428728863
g1217,0.373125487,-1.216853316,0.428145085
g1218,0.373242251,4.075106518,0.4280092
g1219,0.373301203,0.700172582,0.427940611
g1220,0.373546946,-1.09245485,0.42765481
g1221,0.3736559,-1.183924041,0.427528156
g1222,0.373750933,0.537368916,0.427417715
g1223,0.373931913,1.418284935,0.427207469
g1224,0.373950332,-0.480474698,0.427186077
g1225,0.374039771,-1.105231379,0.427082218
g1226,0.374065018,3.535165951,0.427052904
g1227,0.374625054,3.036948533,0.426403181
g1228,0.374734572,1.240897674,0.426276238
g1229,0.374815641,0.515920129,0.426182294
g1230,0.374909134,-0.464771175,0.426073979
g1231,0.374917493,-1.201182878,0.426064296
g1232,0.375027112,-1.242100117,0.425937334
g1233,0.37504636,-1.12854056,0.425915045
g1234,0.375060763,5.562953463,0.425898367
g1235,0.37544808,1.188309627,0.425450112
g1236,0.375465433,1.188309627,0.42543004
g1237,0.375526214,-1.458703918,0.425359741
g1238,0.375600737,-0.995414944,0.425273564
g1239,0.375627488,-0.659342983,0.425242634
g1240,0.37564383,-1.887169412,0.42522374
g1241,0.375746692,-1.058081148,0.425104834
g1242,0.375995726,-1.117966427,0.424817092
g1243,0.376209197,-5.005932351,0.424570592
g1244,0.376401136,-1.305980445,0.424349075
g1245,0.376454555,-0.238834304,0.424287444
g1246,0.37665161,-1.589198842,0.424060172
g1247,0.377051145,1.930696068,0.423599736
g1248,0.377086341,0.649396163,0.423559199
g1249,0.37712086,0.210510435,0.423519444
g1250,0.377165886,-0.667520258,0.423467595
g1251,0.377272724,1.605031201,0.423344592
g1252,0.377337904,0.412969932,0.423269567
g1253,0.377439036,-7.357060332,0.423153186
g1254,0.377468152,-0.452489826,0.423119685
g1255,0.377506299,0.620864926,0.423075797
g1256,0.37752859,-1.544676001,0.423050154
g1257,0.377546016,-1.320209476,0.423030108
g1258,0.377806662,-0.529823178,0.422730388
g1259,0.377850375,3.265586756,0.422680142
g1260,0.37802833,-0.584298563,0.422475652
g1261,0.378038291,-1.438438544,0.422464209
g1262,0.378182621,0.560312573,0.422298433
g1263,0.378506663,1.045283846,0.421926471
g1264,0.378760205,-1.125094215,0.421635657
g1265,0.378796588,-3.125712276,0.421593942
g1266,0.379173784,-0.923102687,0.421161697
g1267,0.379207953,-1.131192353,0.421122563
g1268,0.379286926,-1.861780612,0.421032127
g1269,0.379386795,-0.907712569,0.420917789
g1270,0.379539317,1.549337781,0.420743228
g1271,0.379646993,1.179088346,0.420620036
g1272,0.379936638,-1.614942205,0.420288825
g1273,0.380006615,0.90385421,0.420208843
g1274,0.380074645,-1.201466601,0.420131101
g1275,0.380124785,-1.097042106,0.420073812
g1276,0.380308112,-2.399462805,0.419864411
g1277,0.38046181,3.498125172,0.41968893
g1278,0.380568876,-1.093603084,0.419566732
g1279,0.380711143,-1.868937964,0.419404412
g1280,0.380823549,-0.797702496,0.419276204
g1281,0.381185713,-0.905318306,0.418863385
g1282,0.381188432,-1.167644688,0.418860287
g1283,0.381474905,1.092730084,0.418534026
g1284,0.381618501,2.375029341,0.418370579
g1285,0.381631072,-1.326859324,0.418356273
g1286,0.381775074,-1.51731819,0.41819243
g1287,0.381783524,-2.892164731,0.418182818
g1288,0.381858424,-0.509364441,0.418097624
g1289,0.381866687,-0.841714714,0.418088227
g1290,0.381900617,-0.97722856,0.41804964
g1291,0.381919771,1.105500909,0.418027859
g1292,0.382061899,0.919735637,0.41786627
g1293,0.38237398,0.825565512,0.417511669
g1294,0.382406145,-1.260631226,0.417475138
g1295,0.382466924,-1.178670781,0.417406117
g1296,0.382569876,-2.913353898,0.41728923
g1297,0.382585507,-1.031898517,0.417271486
g1298,0.38300252,5.354296794,0.416798369
g1299,0.383042959,-1.418189858,0.416752516
g1300,0.383043778,-1.074045004,0.416751588
g1301,0.383050521,0.544175863,0.416743943
g1302,0.383150471,-2.061312662,0.416630636
g1303,0.383333308,-2.699332216,0.416423443
g1304,0.383917584,-0.715352784,0.415761996
g1305,0.384218199,-1.307689961,0.415422068
g1306,0.384278234,-1.071034892,0.415354214
g1307,0.384308655,3.782383304,0.415319835
g1308,0.384741808,-1.027687729,0.414830618
g1309,0.384830404,0.076027039,0.414730623
g1310,0.384844713,-1.486211135,0.414714475
g1311,0.384997133,-0.562361094,0.414542505
g1312,0.384998437,-1.545155445,0.414541034
g1313,0.385081136,0.694468168,0.414447756
g1314,0.385226239,-1.000775532,0.414284139
g1315,0.385360367,-3.805301115,0.414132953
g1316,0.385439946,-1.120567945,0.414043278
g1317,0.385534659,0.353528535,0.413936573
g1318,0.385795476,2.258503527,0.413642869
g1319,0.385817386,-1.184610228,0.413618206
g1320,0.385821987,1.022518989,0.413613027
g1321,0.385947712,-1.117024947,0.413471529
g1322,0.386203042,0.742188674,0.41318431
g1323,0.386280274,4.046181092,0.413097469
g1324,0.38628676,-1.402899691,0.413090177
g1325,0.386333416,-1.112145448,0.413037726
g1326,0.386419569,-0.556793677,0.412940888
g1327,0.386510032,0.322294302,0.412839229
g1328,0.386560141,4.047366905,0.412782929
g1329,0.386629209,-1.061545329,0.412705339
g1330,0.38668618,-0.917483664,0.412641349
g1331,0.38678181,6.990117075,0.412533959
g1332,0.386906389,2.97912557,0.412394099
g1333,0.387134138,-5.921188936,0.41213853
g1334,0.387182519,0.67003346,0.412084259
g1335,0.387352687,-1.453840317,0.411893427
g1336,0.387442627,-1.171220183,0.411792599
g1337,0.38771165,-0.238472328,0.411491149
g1338,0.387867389,1.838766612,0.411316733
g1339,0.388138659,0.706773542,0.411013099
g1340,0.388149005,-0.885123021,0.411001523
g1341,0.388183214,-0.995423631,0.410963249
g1342,0.388252141,2.488386808,0.410886141
g1343,0.3883058,-1.143727549,0.410826122
g1344,0.388307343,-1.159092595,0.410824397
g1345,0.388579931,-0.619791656,0.410519633
g1346,0.388690131,1.478288528,0.410396486
g1347,0.388781351,1.598669886,0.410294575
g1348,0.389013131,-0.321748982,0.410035739
g1349,0.389082423,-0.809318463,0.409958388
g1350,0.389178022,-1.006124015,0.409851694
g1351,0.389251306,-1.463806398,0.409769922
g1352,0.389546266,-0.665470281,0.409440954
g1353,0.389610537,0.808595348,0.409369306
g1354,0.389613994,-1.246014519,0.409365453
g1355,0.389662681,-1.166457836,0.409311186
g1356,0.389682142,-1.705374144,0.409289496
g1357,0.389837876,0.404183401,0.409115968
g1358,0.389993982,3.373295115,0.408942095
g1359,0.39016768,3.590837916,0.408748709
g1360,0.390497016,-0.632605731,0.40838228
g1361,0.390612042,-1.114778002,0.408254372
g1362,0.390615274,2.576112979,0.408250779
g1363,0.390691389,0.829090442,0.408166161
g1364,0.390875976,-2.817391984,0.407961021
g1365,0.390934336,-0.198351277,0.407896184
g1366,0.390956286,-0.916442136,0.4078718
g1367,0.391486184,-0.983923315,0.40728356
g1368,0.391622564,3.642516562,0.407132294
g1369,0.391702048,-0.62567754,0.407044158
g1370,0.392583094,-2.858553283,0.406068407
g1371,0.392737021,-1.15000288,0.405898158
g1372,0.392835768,5.233257184,0.405788976
g1373,0.392891703,4.161420735,0.405727142
g1374,0.39291978,-1.215590352,0.405696108
g1375,0.392954511,-1.073122744,0.405657721
g1376,0.393210237,-0.120126679,0.405375184
g1377,0.393259702,-3.819587073,0.405320554
g1378,0.393351875,2.949088446,0.405218775
g1379,0.393942864,-0.743029248,0.404566762
g1380,0.393943374,0.072098706,0.4045662
g1381,0.394096468,1.846567844,0.404397457
g1382,0.394179502,2.917732165,0.404305964
g1383,0.394365957,-0.866368893,0.404100582
g1384,0.394447124,-0.573048506,0.404011206
g1385,0.394498104,-0.920688211,0.40395508
g1386,0.394612035,-2.128575052,0.403829674
g1387,0.39481911,-0.638432271,0.403601835
g1388,0.394864015,0.714582587,0.403552443
g1389,0.395115029,-1.096752013,0.403276451
g1390,0.395523098,-2.530582448,0.402828149
g1391,0.395795129,1.837281236,0.402529555
g1392,0.396013538,-1.642022908,0.402289967
g1393,0.396162208,3.067169817,0.402126956
g1394,0.396239097,0.465524369,0.402042675
g1395,0.396322266,-0.79466736,0.401951528
g1396,0.396604353,1.023296972,0.401642523
g1397,0.39710822,-0.85035506,0.401091123
g1398,0.397128959,2.555003965,0.401068443
g1399,0.39714205,0.60066843,0.401054127
g1400,0.397234175,-1.011412826,0.400953395
g1401,0.397365491,-0.155332696,0.400809852
g1402,0.397407315,-0.556767324,0.400764143
g1403,0.397870992,-2.101918935,0.400257723
g1404,0.39842169,0.746632017,0.399657027
g1405,0.398432162,1.261499382,0.399645612
g1406,0.398453739,2.833981077,0.399622093
g1407,0.398517423,1.898412708,0.399552687
g1408,0.398536424,3.773291339,0.39953198
g1409,0.398565759,-0.664128669,0.399500015
g1410,0.398600021,-0.262025792,0.399462683
g1411,0.398987826,-0.597806934,0.399040355
g1412,0.39915006,-1.214155303,0.398863801
g1413,0.399353248,1.152975585,0.398642779
g1414,0.399574964,0.84430448,0.398401731
g1415,0.399656437,0.443492042,0.398313188
g1416,0.39968491,-2.473448119,0.398282248
g1417,0.399752769,0.765723508,0.398208519
g1418,0.399836911,0.688980544,0.398117116
g1419,0.400126287,-0.508673016,0.397802916
g1420,0.400174805,1.311864446,0.397750258
g1421,0.400597341,-0.69770236,0.397291938
g1422,0.400845613,3.00994356,0.397022865
g1423,0.400854374,-0.332796508,0.397013373
g1424,0.400973414,0.436693856,0.396884422
g1425,0.401074965,-1.150826623,0.396774446
g1426,0.40127559,-0.250810691,0.396557258
g1427,0.401300438,-1.752379417,0.396530366
g1428,0.401361781,-5.750465372,0.396463985
g1429,0.401524784,-0.661072051,0.396287643
g1430,0.401668373,-1.083080074,0.396132363
g1431,0.401846627,1.268973818,0.395939673
g1432,0.401931652,-1.193550774,0.395847792
g1433,0.401942509,-2.21661693,0.395836061
g1434,0.402129855,-1.00415384,0.395633683
g1435,0.402354627,-4.260556648,0.395391
g1436,0.402561964,2.790561954,0.395167262
g1437,0.402670456,-1.139098406,0.395050233
g1438,0.402687878,-0.814253691,0.395031444
g1439,0.402721911,0.85400108,0.394994741
g1440,0.402776989,-0.764555003,0.394935349
g1441,0.402930642,-0.432714281,0.394769704
g1442,0.403129596,0.365657483,0.394555317
g1443,0.403267891,2.87647973,0.394406356
g1444,0.403286889,4.022419194,0.394385897
g1445,0.403341356,-1.075472387,0.394327246
g1446,0.403404214,1.767378328,0.394259569
g1447,0.403505499,1.436504737,0.394150542
g1448,0.403789238,-1.201820436,0.39384526
g1449,0.404067819,-0.75242176,0.393545737
g1450,0.40417807,-1.049641497,0.393427254
g1451,0.404344927,-0.243358102,0.393248001
g1452,0.404477673,-1.727238214,0.393105446
g1453,0.404494949,-0.662266123,0.393086897
g1454,0.404538739,-0.583126059,0.393039884
g1455,0.40461349,-0.251445634,0.392959642
g1456,0.404957548,-1.20679172,0.392590502
g1457,0.405004524,-5.218269952,0.392540126
g1458,0.405055496,0.629203038,0.392485471
g1459,0.405183779,1.468599587,0.392347949
g1460,0.405216039,0.757257342,0.392313373
g1461,0.405458344,-0.839945833,0.392053758
g1462,0.405533591,3.741095748,0.391973167
g1463,0.405556702,-3.651186491,0.391948417
g1464,0.405629133,-3.308838116,0.391870861
g1465,0.405632393,-1.080003655,0.39186737
g1466,0.405837197,-1.119460224,0.39164815
g1467,0.405842845,0.5294502,0.391642106
g1468,0.405924656,-0.824598965,0.391554569
g1469,0.40616664,0.982053763,0.39129575
g1470,0.406179415,6.674944648,0.39128209
g1471,0.406233806,-0.57951066,0.391223938
g1472,0.406313024,-1.051966603,0.391139257
g1473,0.406341826,-1.047506633,0.391108472
g1474,0.406436843,-0.651992399,0.391006931
g1475,0.406677851,0.34301978,0.39074948
g1476,0.406714418,-1.039050582,0.390710432
g1477,0.406786901,-1.1075581,0.39063304
g1478,0.406797551,-1.006879903,0.39062167
g1479,0.406808965,6.003571725,0.390609485
g1480,0.406903604,0.428272935,0.390508464
g1481,0.406953192,8.122327345,0.390455541
g1482,0.407006519,7.313184473,0.390398635
g1483,0.407109797,-1.162872812,0.390288446
g1484,0.407122014,2.107594705,0.390275414
g1485,0.40720381,1.569093298,0.390188167
g1486,0.407327881,-1.038519834,0.390055862
g1487,0.407368796,-0.923508261,0.390012241
g1488,0.407454292,6.182410514,0.389921103
g1489,0.407561913,-1.17034044,0.389806408
g1490,0.40770198,0.795713312,0.389657179
g1491,0.407760724,-2.932408803,0.389594608
g1492,0.408108058,4.696723861,0.38922483
g1493,0.408283488,0.919425874,0.389038184
g1494,0.408283589,-0.742601061,0.389038076
g1495,0.408423838,-1.570114516,0.388888918
g1496,0.40843606,3.056502313,0.388875922
g1497,0.408639491,-0.844920143,0.388659665
g1498,0.40879753,-0.791279669,0.388491737
g1499,0.408901679,7.79644613,0.388381106
g1500,0.409321487,-0.303549766,0.387935457
g1501,0.409326693,-0.933275443,0.387929933
g1502,0.409348788,0.890872374,0.387906491
g1503,0.409362281,-0.567666744,0.387892176
g1504,0.409377687,3.494767771,0.387875832
g1505,0.409492666,1.251876279,0.387753872
g1506,0.409584313,-1.905420607,0.387656685
g1507,0.409669954,-0.957320001,0.387565887
g1508,0.409744559,-0.222784415,0.387486805
g1509,0.409829955,-1.099401658,0.387396302
g1510,0.410059263,-1.050750579,0.387153373
g1511,0.410174817,0.210914416,0.387031007
g1512,0.410176198,-2.886242594,0.387029545
g1513,0.41023895,-0.776533816,0.386963108
g1514,0.410244586,-0.681887886,0.386957142
g1515,0.410377813,4.835509838,0.386816127
g1516,0.410433903,-0.987508937,0.386756772
g1517,0.410434774,0.774056328,0.386755851
g1518,0.410886403,-0.573163234,0.38627823
g1519,0.410891744,-6.918943089,0.386272585
g1520,0.411667552,-0.761119111,0.385453363
g1521,0.411709784,4.624836176,0.385408812
g1522,0.411752314,-0.856703085,0.385363951
g1523,0.412015895,1.216607622,0.385086029
g1524,0.412085564,-1.075072148,0.385012599
g1525,0.41239807,-0.844822227,0.384683376
g1526,0.412437962,-0.322365304,0.384641368
g1527,0.412539386,-0.92175698,0.384534582
g1528,0.412593239,-0.903173364,0.384477893
g1529,0.412752938,2.879273149,0.384309827
g1530,0.412837692,9.481286515,0.384220659
g1531,0.412919725,-0.848839812,0.384134371
g1532,0.413070952,1.08372623,0.383975344
g1533,0.413089276,-0.915011415,0.383956079
g1534,0.413111162,-1.048657221,0.383933071
g1535,0.413236343,-0.939513459,0.38380149
g1536,0.413303778,-1.248349799,0.383730625
g1537,0.413383004,3.167014884,0.383647383
g1538,0.413489752,0.951871316,0.38353525
g1539,0.413623995,-1.184860053,0.383394275
g1540,0.413672728,1.025231722,0.38334311
g1541,0.413724367,4.318856082,0.3832889
g1542,0.413824649,-0.573320169,0.383183645
g1543,0.414139031,-6.728939865,0.382853837
g1544,0.41427891,-0.767926035,0.382707175
g1545,0.414542952,1.122576549,0.382430464
g1546,0.414602524,-0.825308922,0.382368058
g1547,0.414871615,1.246510196,0.382086278
g1548,0.41523601,-1.45047515,0.381704991
g1549,0.415380619,2.205764637,0.381553771
g1550,0.415387058,0.680727715,0.381547039
g1551,0.415514873,-0.725003361,0.381413426
g1552,0.415537476,9.538043272,0.381389802
g1553,0.415607146,-1.870174914,0.381316994
g1554,0.415640803,7.313184484,0.381281825
g1555,0.415666321,-1.472216298,0.381255162
g1556,0.415734134,3.519108866,0.381184316
g1557,0.415850715,-0.897886337,0.381062547
g1558,0.415858959,1.443175659,0.381053938
g1559,0.415943156,-1.013659405,0.380966017
g1560,0.416010052,-1.124435938,0.380896175
g1561,0.41609005,3.645265092,0.380812669
g1562,0.416109242,6.175211121,0.380792638
g1563,0.416143067,-0.481674837,0.380757336
g1564,0.416433549,-2.931769943,0.38045429
g1565,0.416445364,-0.709216971,0.380441968
g1566,0.416455144,0.819509309,0.380431769
g1567,0.416598851,-7.05625039,0.380281932
g1568,0.416658874,-0.829192035,0.380219364
g1569,0.416727269,-4.177358716,0.38014808
g1570,0.416840012,-0.848112985,0.3800306
g1571,0.416903577,5.89437547,0.379964379
g1572,0.416962164,-0.672677869,0.379903352
g1573,0.417133328,1.247773532,0.37972511
g1574,0.417142817,7.484067957,0.37971523
g1575,0.417208289,-1.580446561,0.379647072
g1576,0.417283148,3.419389888,0.379569154
g1577,0.417341816,-4.526887673,0.379508099
g1578,0.417456309,4.36881819,0.379388971
g1579,0.417634907,-1.051822094,0.379203209
g1580,0.417676316,-0.475281521,0.37916015
g1581,0.41777788,-8.197710091,0.379054558
g1582,0.417813911,-1.026179802,0.379017104
g1583,0.417829734,-0.074263252,0.379000658
g1584,0.417844652,7.956992739,0.378985152
g1585,0.417891137,-0.735101446,0.37893684
g1586,0.41812507,0.248598605,0.378693792
g1587,0.418163766,-2.693409653,0.378653602
g1588,0.418248194,-0.982737338,0.378565926
g1589,0.418284161,-0.960622588,0.37852858
g1590,0.418285322,0.75447576,0.378527375
g1591,0.418299087,4.797743528,0.378513083
g1592,0.418433207,1.082032759,0.378373857
g1593,0.418527805,7.649031872,0.378275684
g1594,0.418564167,-3.186595522,0.378237954
g1595,0.418595868,-0.958003736,0.378205063
g1596,0.418934,-0.33561608,0.377854392
g1597,0.418943475,-0.887340664,0.377844569
g1598,0.418962895,0.72402704,0.377824438
g1599,0.418966105,-1.02244052,0.377821111
g1600,0.419112527,2.424975922,0.377669358
g1601,0.419164796,-0.531160773,0.377615199
g1602,0.419245231,9.059856258,0.377531869
g1603,0.419255455,0.700441757,0.377521278
g1604,0.419575998,-0.467916674,0.377189364
g1605,0.419657506,-1.26756044,0.377105005
g1606,0.419792568,-6.738357026,0.376965254
g1607,0.419940591,-0.734524131,0.376812145
g1608,0.420009238,7.840670169,0.376741157
g1609,0.420019916,-0.858264444,0.376730116
g1610,0.420557133,-0.792236067,0.376174997
g1611,0.420683247,-1.119785931,0.376044783
g1612,0.420772318,-3.297096838,0.37595284
g1613,0.420790444,1.304669145,0.375934131
g1614,0.420929513,4.183373909,0.375790623
g1615,0.421021403,-0.584183075,0.375695826
g1616,0.421034792,-1.16928078,0.375682015
g1617,0.42105358,-6.243074599,0.375662636
g1618,0.421136592,-1.118669449,0.375577022
g1619,0.421155388,-3.035101599,0.375557639
g1620,0.421171224,-0.741398791,0.375541309
g1621,0.421186277,-0.968185989,0.375525787
g1622,0.421198461,-0.92916972,0.375513224
g1623,0.421669567,-0.953749646,0.375027742
g1624,0.42174884,-0.820043905,0.374946103
g1625,0.421848329,-0.700171534,0.374843667
g1626,0.421974381,-0.602866985,0.374713915
g1627,0.422069741,2.877354398,0.374615782
g1628,0.422096325,-0.743323821,0.374588429
g1629,0.422240301,0.945279509,0.374440318
g1630,0.422285008,-0.556543894,0.374394337
g1631,0.42268578,15.09014139,0.373982362
g1632,0.42270748,-1.024770685,0.373960067
g1633,0.422743515,-0.476244154,0.373923046
g1634,0.422802487,-0.860805871,0.373862467
g1635,0.422850606,11.2310418,0.373813043
g1636,0.422888971,-1.023043728,0.373773641
g1637,0.422978123,-6.419608479,0.373682094
g1638,0.42302975,11.64055191,0.373629089
g1639,0.423048576,5.797162639,0.373609762
g1640,0.423241131,-0.95847119,0.373412134
g1641,0.423255625,-0.903407314,0.373397261
g1642,0.423308219,6.838194236,0.373343299
g1643,0.423348158,-0.774578839,0.373302326
g1644,0.423744061,1.719808154,0.372896376
g1645,0.423757872,2.700929307,0.372882221
g1646,0.423844268,1.33253681,0.372793686
g1647,0.424028096,-0.81827911,0.372605366
g1648,0.424069709,6.046911488,0.372562748
g1649,0.424125397,8.230205112,0.372505721
g1650,0.42413317,-0.645992124,0.372497762
g1651,0.42417799,-0.923607296,0.37245187
g1652,0.424457162,-0.522023533,0.372166134
g1653,0.424489786,-1.011543537,0.372132755
g1654,0.42454406,8.999259126,0.372077231
g1655,0.42470149,-1.085177062,0.371916215
g1656,0.424724308,10.47287533,0.371892883
g1657,0.424763457,-1.560108016,0.371852853
g1658,0.424817401,-0.927593102,0.371797702
g1659,0.424832223,-0.988468316,0.37178255
g1660,0.424841921,-0.766139689,0.371772636
g1661,0.425083659,-0.90193757,0.37152559
g1662,0.425096091,-1.078220951,0.371512889
g1663,0.425234585,10.17555478,0.371371421
g1664,0.425364037,6.713410944,0.371239231
g1665,0.425479146,0.566681783,0.371121721
g1666,0.425495452,2.322247038,0.371105078
g1667,0.425662431,2.416792707,0.370934679
g1668,0.425783001,-0.293958907,0.370811681
g1669,0.425847681,9.127465458,0.370745713
g1670,0.425880253,2.901885046,0.370712497
g1671,0.425972653,-0.55840756,0.370618281
g1672,0.426001971,-0.733142107,0.370588392
g1673,0.426008114,-5.146541565,0.370582129
g1674,0.426111615,5.911148232,0.370476628
g1675,0.426134514,-0.722095451,0.370453289
g1676,0.426311491,1.039879196,0.370272961
g1677,0.426337857,5.959136457,0.370246102
g1678,0.426435662,-0.700649768,0.370146483
g1679,0.426504892,5.470622949,0.370075983
g1680,0.426642259,1.405554405,0.36993613
g1681,0.426744765,1.405554405,0.369831798
g1682,0.426766852,-0.578266103,0.369809321
g1683,0.426871858,3.645410116,0.369702476
g1684,0.427096199,-1.106546576,0.369474294
g1685,0.427160615,-2.984413833,0.369408797
g1686,0.427302078,-0.593288866,0.369264995
g1687,0.427451282,4.111113422,0.369113376
